10000,d1912643,/Restaurant_Review-g187147-d1912643-Reviews-R_Yves-Paris_Ile_de_France.html
10001,d7992032,/Restaurant_Review-g189852-d7992032-Reviews-Buddha_Nepal-Stockholm.html
10002,d8632781,/Restaurant_Review-g186338-d8632781-Reviews-ROKA_Mayfair-London_England.html
10003,d1358776,/Restaurant_Review-g187323-d1358776-Reviews-Esplanade-Berlin.html
10004,d6864963,/Restaurant_Review-g187309-d6864963-Reviews-Augustiner_Schutzen_Garten-Munich_Upper_Bavaria_Bavaria.html
10005,d12503536,/Restaurant_Review-g189180-d12503536-Reviews-Dick_s_Bar-Porto_Porto_District_Northern_Portugal.html
10006,d5808504,/Restaurant_Review-g187849-d5808504-Reviews-Pizzeria_La_Costiera-Milan_Lombardy.html
10007,d3199765,/Restaurant_Review-g274924-d3199765-Reviews-Ristorante_Italiano_San_Cono-Bratislava_Bratislava_Region.html
10008,d12845029,/Restaurant_Review-g190454-d12845029-Reviews-Grunstern-Vienna.html
10009,d8020681,/Restaurant_Review-g187791-d8020681-Reviews-Quadro_Pizzetterie-Rome_Lazio.html
10010,d10696479,/Restaurant_Review-g187497-d10696479-Reviews-Restaurant_El_Plaer-Barcelona_Catalonia.html
10011,d12402429,/Restaurant_Review-g186338-d12402429-Reviews-Pizza_Pilgrims-London_England.html
10012,d2259559,/Restaurant_Review-g186338-d2259559-Reviews-Made_In_Italy_King_s_Road-London_England.html
10013,d12107166,/Restaurant_Review-g187323-d12107166-Reviews-Lykke-Berlin.html
10014,d10859423,/Restaurant_Review-g187514-d10859423-Reviews-Batea-Madrid.html
10015,d6633059,/Restaurant_Review-g186605-d6633059-Reviews-Green_Land_Cafe-Dublin_County_Dublin.html
10016,d10266473,/Restaurant_Review-g187323-d10266473-Reviews-Akira_Sushi_Streetfood-Berlin.html
10017,d8659568,/Restaurant_Review-g186338-d8659568-Reviews-46_Mercy-London_England.html
10018,d3702312,/Restaurant_Review-g187323-d3702312-Reviews-Albrechtshof-Berlin.html
10019,d8155327,/Restaurant_Review-g947638-d8155327-Reviews-Hong_Yun-Watermael_Boitsfort_Brussels.html
10020,d10524693,/Restaurant_Review-g187309-d10524693-Reviews-Schmaus_Braus-Munich_Upper_Bavaria_Bavaria.html
10021,d10058810,/Restaurant_Review-g187514-d10058810-Reviews-Bar_Restaurante_El_Diezy7-Madrid.html
10022,d2508041,/Restaurant_Review-g186338-d2508041-Reviews-The_Swan_Wimbledon-London_England.html
10023,d1018940,/Restaurant_Review-g188113-d1018940-Reviews-White_Elephant-Zurich.html
10024,d7617571,/Restaurant_Review-g186338-d7617571-Reviews-Square_Pie-London_England.html
10025,d12018194,/Restaurant_Review-g274856-d12018194-Reviews-The_Zoopa-Warsaw_Mazovia_Province_Central_Poland.html
10026,d10060659,/Restaurant_Review-g187514-d10060659-Reviews-Gaditaun-Madrid.html
